event_id,event_type,company,detail,date,url,signal_strength,email_template,found_date,status,email_sent,notes
EVT_20260216_0023,SEC_FILING,Render,Unknown filed: EX-5.1,2025-12-15,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Render&type=10-K&dateb=&owner=include&count=10,MEDIUM,sec_filing_change,2026-02-16,NEW,NO,
EVT_20260216_0024,SEC_FILING,Render,Unknown filed: EX-5.1,2025-11-18,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Render&type=10-K&dateb=&owner=include&count=10,MEDIUM,sec_filing_change,2026-02-16,NEW,NO,
EVT_20260216_0025,SEC_FILING,Render,Unknown filed: EX-5.1,2026-01-12,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Render&type=10-K&dateb=&owner=include&count=10,MEDIUM,sec_filing_change,2026-02-16,NEW,NO,
EVT_20260216_0026,SEC_FILING,Linear,Unknown filed: EX-21,2025-11-25,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Linear&type=10-K&dateb=&owner=include&count=10,MEDIUM,sec_filing_change,2026-02-16,NEW,NO,
EVT_20260216_0027,SEC_FILING,Linear,Unknown filed: EX-99.3,2026-01-20,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Linear&type=10-K&dateb=&owner=include&count=10,MEDIUM,sec_filing_change,2026-02-16,NEW,NO,
EVT_20260216_0028,SEC_FILING,Linear,Unknown filed: EX-99.2,2026-01-14,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Linear&type=10-K&dateb=&owner=include&count=10,MEDIUM,sec_filing_change,2026-02-16,NEW,NO,
EVT_20260216_0029,SEC_FILING,Retool,Unknown filed: EX-99.1,2026-02-06,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Retool&type=10-K&dateb=&owner=include&count=10,MEDIUM,sec_filing_change,2026-02-16,NEW,NO,
EVT_20260216_0030,SEC_FILING,Retool,Unknown filed: FORM 10-K,2025-11-25,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Retool&type=10-K&dateb=&owner=include&count=10,MEDIUM,sec_filing_change,2026-02-16,NEW,NO,
EVT_20260216_0031,SEC_FILING,Retool,Unknown filed: 10-K,2026-01-29,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Retool&type=10-K&dateb=&owner=include&count=10,MEDIUM,sec_filing_change,2026-02-16,NEW,NO,
EVT_20260216_0032,SEC_FILING,Make,Unknown filed: EX-10.4,2026-01-05,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Make&type=10-K&dateb=&owner=include&count=10,MEDIUM,sec_filing_change,2026-02-16,NEW,NO,
EVT_20260216_0033,SEC_FILING,Make,Unknown filed: FORM 8-K,2025-11-18,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Make&type=10-K&dateb=&owner=include&count=10,MEDIUM,sec_filing_change,2026-02-16,NEW,NO,
EVT_20260216_0034,SEC_FILING,Make,Unknown filed: EX-10.1,2025-12-03,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Make&type=10-K&dateb=&owner=include&count=10,MEDIUM,sec_filing_change,2026-02-16,NEW,NO,
EVT_20260216_0035,JOB_POSTING,Stripe,HN Job: Stripe is hiring for developer support,2015-06-17,https://news.ycombinator.com/item?id=9730276,MEDIUM,job_removed,2026-02-16,NEW,NO,
EVT_20260216_0036,JOB_POSTING,Stripe,HN Job: Stripe is hiring for developer support. Part-time and remote welcome,2015-03-18,https://news.ycombinator.com/item?id=9225645,MEDIUM,job_removed,2026-02-16,NEW,NO,
EVT_20260216_0037,JOB_POSTING,Stripe,HN Job: Stripe is hiring for developer support. Part-time and remote (US times) welcome,2015-01-28,https://news.ycombinator.com/item?id=8957497,MEDIUM,job_removed,2026-02-16,NEW,NO,
EVT_20260216_0038,JOB_POSTING,Shopify,"HN Job: Skio (YC S20) – Subscriptions for Shopify, ReCharge Migrations Is Hiring",2024-05-30,https://skio.com/careers/,MEDIUM,job_removed,2026-02-16,NEW,NO,
EVT_20260216_0039,JOB_POSTING,Shopify,"HN Job: Skio (YC S20) – Subscriptions for Shopify, ReCharge Migrations – Is Hiring",2024-05-16,https://skio.com/careers/,MEDIUM,job_removed,2026-02-16,NEW,NO,
EVT_20260216_0040,JOB_POSTING,Shopify,"HN Job: Skio (YC S20) – Subscriptions for Shopify, ReCharge Migrations Is Hiring",2024-05-02,https://skio.com/careers/,MEDIUM,job_removed,2026-02-16,NEW,NO,
EVT_20260216_0041,JOB_POSTING,Slack,HN Job: Manara (YC W21) Is Hiring a Full Slack Engineer,2022-03-24,https://manara.breezy.hr/p/1cebbb12d138-full-stack-javascript-engineer,MEDIUM,job_removed,2026-02-16,NEW,NO,
EVT_20260216_0042,JOB_POSTING,Slack,HN Job: Love mobile? Love Slack emojis? We might love you Taplytics (YC W14) is hiring,2016-04-10,https://taplytics.com/jobs?utm_source=Hacker%20News&utm_medium=job-posting&utm_term=slack-emojis&utm_campaign=job-posting-slack-emojis,MEDIUM,job_removed,2026-02-16,NEW,NO,
EVT_20260216_0043,JOB_POSTING,Slack,HN Job: Taplytics (YC W14) is hiring – Love mobile? We might love you,2016-03-31,https://taplytics.com/jobs?utm_source=Hacker%20News&utm_medium=job-posting&utm_term=slack-emojis&utm_campaign=job-posting-slack-emojis,MEDIUM,job_removed,2026-02-16,NEW,NO,
EVT_20260216_0044,JOB_POSTING,Notion,HN Job: BoldVoice (YC S21) Is Hiring Fullstack and Machine Learning Engineers,2026-01-30,https://boldvoice.notion.site/careers-page?p=2e871a9bf729806c81f6e47f32e32622&pm=s,MEDIUM,job_removed,2026-02-16,NEW,NO,
EVT_20260216_0045,JOB_POSTING,Notion,HN Job: ParadeDB (YC S23) Is Hiring Database Engineers,2026-01-03,https://paradedb.notion.site/?p=172ea4ce9deb80898ef5d5097bd65544&pm=s,MEDIUM,job_removed,2026-02-16,NEW,NO,
EVT_20260216_0046,JOB_POSTING,Notion,HN Job: ParadeDB (YC S23) Is Hiring Database Internals Engineers,2025-09-26,https://paradedb.notion.site/?source=copy_link,MEDIUM,job_removed,2026-02-16,NEW,NO,
EVT_20260216_0047,JOB_POSTING,Airtable,"HN Job: Opvia (YC S20, Airtable for Scientists) Is Hiring Founding Engineers in London",2020-11-24,https://airtable.com/shrhv1yYtcMtPskra,MEDIUM,job_removed,2026-02-16,NEW,NO,
EVT_20260216_0048,JOB_POSTING,Airtable,HN Job: Opvia (YC S20) Is Hiring in London,2022-04-20,https://airtable.com/shrhv1yYtcMtPskra,MEDIUM,job_removed,2026-02-16,NEW,NO,
