original_handle,original_tweet_id,original_url,content_text,media_path,engagement_score,viral_score,suggested_caption,repurpose_type,status,scheduled_time
@oddlyterrifying,1531591310993498121,https://x.com/oddlyterrifying/status/1531591310993498121,"Saturn rising from behind the Moon. From a ground telescope, captured by Jan Koet. $LUNA",,17L 2RT 0V,0,no way,REPOST_WITH_CAPTION,PENDING,
@TheFigen_,2023160621638779352,https://x.com/TheFigen_/status/2023160621638779352,"A guy makes a video with his partner: ""May lightning strike if you've been unfaithful to me.""",,140175L 4557RT 14903932V,65,insane,REPOST_WITH_CAPTION,PENDING,
@TheFigen_,2023851236886540505,https://x.com/TheFigen_/status/2023851236886540505,That dog has skills.,,20158L 2998RT 651296V,45,wild,MEDIA_REPOST,PENDING,
@TheFigen_,2023904814527029445,https://x.com/TheFigen_/status/2023904814527029445,The greatest 2 step verification of all time. ,,6878L 596RT 956390V,25,no way,MEDIA_REPOST,PENDING,
@TheFigen_,2023743946715718091,https://x.com/TheFigen_/status/2023743946715718091,Realizing Anastasia never disliked Cinderella she was just doing it because of her mother.,,32342L 1550RT 862957V,40,no way,REPOST_WITH_CAPTION,PENDING,
@TheFigen_,2023911308697936057,https://x.com/TheFigen_/status/2023911308697936057,The cat's reaction to the magic trick is so cute.,,17823L 1434RT 434416V,30,thoughts?,MEDIA_REPOST,PENDING,
@TheFigen_,2023865584161833084,https://x.com/TheFigen_/status/2023865584161833084,The lil boy nailed it! ,,10427L 1650RT 390309V,30,wild,MEDIA_REPOST,PENDING,
@TheFigen_,2023796232070799366,https://x.com/TheFigen_/status/2023796232070799366,"Freedom tastes like the open sky.
Before flying, it looked again at the one who gave her back her wings.
Gratitude also takes the form of flight.",,7454L 651RT 128740V,30,wild,REPOST_WITH_CAPTION,PENDING,
@TheFigen_,2023769161436987683,https://x.com/TheFigen_/status/2023769161436987683,When a drawing comes to life.,,11194L 1185RT 606286V,30,no way,MEDIA_REPOST,PENDING,
@TheFigen_,2023929431023055107,https://x.com/TheFigen_/status/2023929431023055107,He thought and acted very quickly against the thieves.,,8056L 347RT 740110V,20,insane,REPOST_WITH_CAPTION,PENDING,
@TheFigen_,2023919001542201402,https://x.com/TheFigen_/status/2023919001542201402,"Snow leopards cuddle while sleeping. 
We are all the same.",,2031L 164RT 36410V,15,this is crazy,REPOST_WITH_CAPTION,PENDING,
@historyinmemes,2023881392317473214,https://x.com/historyinmemes/status/2023881392317473214,"John Lennon said, ""Before Elvis, there was nothing."" He was right.

When Jailhouse Rock was filmed in 1957, Elvis Presley personally designed the entire dance routine. Although the studio hired a professional choreographer, Elvis felt the steps looked too rigid. Wanting raw,",,3706L 480RT 597790V,15,wild,REPOST_WITH_CAPTION,PENDING,
@historyinmemes,2023831979624386944,https://x.com/historyinmemes/status/2023831979624386944,The pace at which AI companies all over the world are growing will go into history books,,308L 32RT 573455V,10,no way,REPOST_WITH_CAPTION,PENDING,
@historyinmemes,2023761602172920171,https://x.com/historyinmemes/status/2023761602172920171,"In France, a group of young people came together to save a man with a physical disability from the third floor of a building.",,20083L 1847RT 879820V,35,no way,REPOST_WITH_CAPTION,PENDING,
@historyinmemes,2023730900752847020,https://x.com/historyinmemes/status/2023730900752847020,"After the 2012 Italian Grand Prix, Fernando Alonso chose to do this instead of leaving the podium the usual way:",,14325L 519RT 760602V,30,insane,REPOST_WITH_CAPTION,PENDING,
@historyinmemes,2023700198199787902,https://x.com/historyinmemes/status/2023700198199787902,"That moment when Vogue came to interview Kim Kardashian, but Kanye was the one who answered the door.",,35661L 1045RT 2439979V,45,insane,REPOST_WITH_CAPTION,PENDING,
